Категория;Товар;Цена;"ID валюты";Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Возраст;Материал;Камера;Габарит
"Женская одежда/Нижнее бельё";"Бюстгальтер Velmont 3404";30.00;2;byustgalter-velmont-3404;1;;;Бирюзовый;;665098647;10;"Бюстгальтер Velmont 3404";"Бюстгальтер Velmont 3404, Нижнее бельё";"Бюстгальтер Velmont 3404 &ndash; эффектный бюстгальтер. Тонкие, регулируемые лямки,";"<p>Бюстгальтер Velmont 3404 &ndash; эффектный бюстгальтер. Тонкие, регулируемые лямки,</p>";"<p>Бюстгальтер Velmont 3404 &ndash; эффектный бюстгальтер. Тонкие, регулируемые лямки, удобная чашка, кружевная отделка, Ваша грудь будет сексуально выглядеть в этом бюстгальтере. Удобен в носке и подходит как на каждый день, так и под вечернее платье.</p>";150-287.jpg;;;;
"Женская одежда/Нижнее бельё";"Бюстгальтер Velmont 4702";63.05;2;byustgalter-velmont-4702;1;0;;Белый;;1047370142;10;"Бюстгальтер Velmont 4702";;;"<p>Бюстгальтер Velmont 4702 – комфортный бюстгальтер на регулируемых тонких лямках.</p>";"<p>Бюстгальтер Velmont 4702 – комфортный бюстгальтер на регулируемых тонких лямках. Черный атлас, удобная чашка, бюстгальтер привлекает внимание эффектной простотой. Идеально поддержит Вашу грудь, удобен в носке на каждый день.</p>";151-288.jpg;;;;
"Женская одежда/Нижнее бельё";"Бюстгальтер Velmont 4702";63.05;2;byustgalter-velmont-4702;1;0;;Черный;;1047370141;10;"Бюстгальтер Velmont 4702";;;"<p>Бюстгальтер Velmont 4702 – комфортный бюстгальтер на регулируемых тонких лямках.</p>";"<p>Бюстгальтер Velmont 4702 – комфортный бюстгальтер на регулируемых тонких лямках. Черный атлас, удобная чашка, бюстгальтер привлекает внимание эффектной простотой. Идеально поддержит Вашу грудь, удобен в носке на каждый день.</p>";151-288.jpg;;;;
"Женская одежда";"Спортивный костюм HOOD";195.00;2;sportivnyj-kostyum-hood;1;0;;;;264887605;10;"Спортивный костюм HOOD";;;"<p>100% хлопок</p>";"<p>100% хлопок</p>";"149-284.jpg, 149-285.jpg, 149-286.jpg";;;;
"Женская одежда";"Велюровый спортивный костюм с юбкой";248.95;2;velyurovyj-sportivnyj-kostyum-s-yubkoj;1;0;;;;138639639;10;"Велюровый спортивный костюм с юбкой";;;"<p>Спортивный костюм с юбкой. Разнообразие цветов поможет выбрать именно тот, который подойдёт именно вам!</p>";"<p>Спортивный костюм с юбкой. Разнообразие цветов поможет выбрать именно тот, который подойдёт именно вам!</p>";"148-279.jpg, 148-280.jpg, 148-281.jpg, 148-282.jpg, 148-283.jpg";;;;
"Женская одежда";"Комбинезон Redial под джинс 2";238.55;2;kombinezon-redial-pod-dzhins-2;1;0;;;;287269331;10;"Комбинезон Redial под джинс 2";;;"<p>Комбинезон Redial под джинс 2 – откровенный и элегантный. Глубокое декольте открывает соблазнительную грудь. Привлекает внимание красиво оголенная спина. Очень интригующе смотрятся пуговички и отложной воротничок. Комбинезон плотно и сексуально облегает фигуру, подчеркивая все ее достоинства</p>";"<p>60% хлопок, 35% полиэстер, 5% спандекс</p><p>Комбинезон Redial под джинс 2 – откровенный и элегантный. Глубокое декольте открывает соблазнительную грудь. Привлекает внимание красиво оголенная спина. Очень интригующе смотрятся пуговички и отложной воротничок. Комбинезон плотно и сексуально облегает фигуру, подчеркивая все ее достоинства</p>";"147-276.jpg, 147-277.jpg, 147-278.jpg";;;;
"Женская одежда";"Вязаное платье с нарядным воротничком";195.00;2;vyazanoe-plate-s-naryadnym-vorotnichkom;1;0;;;;402661365;10;"Вязаное платье с нарядным воротничком";;;"<p>Это отличное вязаное платье с шикарным воротником</p>";"<p>Это отличное вязаное платье с шикарным воротником</p><p>А сборка в области талии подчеркнёт все прелести вашей фигуры.</p>";"146-272.jpg, 146-273.jpg, 146-274.jpg, 146-275.jpg";;;;
"Женская одежда";"Платье Зебра с оригинальным ремнем";183.95;2;plate-zebra-s-originalnym-remnem;1;0;;;;997196776;10;"Платье Зебра с оригинальным ремнем";;;"<p>Красивое платье для работы и отдыха из плотного стрейч-трикотажа.</p><p>Высококачественный плотный трикотаж с добавлением эластана делает платье комфортным и удобным в носке.</p>";"<p>Красивое платье для работы и отдыха из плотного стрейч-трикотажа.</p><p>Высококачественный плотный трикотаж с добавлением эластана делает платье комфортным и удобным в носке.</p><p>Оригинальный ремень и необычная расцветка покажут Вашу индивидуальность и стиль.</p><p>Параметры модели: рост 176см, ОГ - 88см, ОТ -65 см, ОБ-94 см.</p>";"145-268.jpg, 145-269.jpg, 145-270.jpg, 145-271.jpg";;;;
"Женская одежда";"Коктейльное платье Strass Buck";227.50;2;koktejlnoe-plate-strass-buck;1;0;;;;1486803820;10;"Коктейльное платье Strass Buck";;;"<p>95% полиэстер, 5% спандекс</p>";"<p>95% полиэстер, 5% спандекс</p>";"144-264.jpg, 144-265.jpg, 144-266.jpg, 144-267.jpg";;;;
"Женская одежда";"Коктейльное платье Tulpan";260.00;2;koktejlnoe-plate-tulpan;1;0;;;;79606859;10;"Коктейльное платье Tulpan";;;"<p>97% полиэстер, 5% эластан</p>";"<p>97% полиэстер, 5% эластан</p>";"143-260.jpg, 143-261.jpg, 143-262.jpg, 143-263.jpg";;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Цифровая фоторамка Transcend PF705";157.95;2;tsifrovaya-fotoramka-transcend-pf705;1;1;Bosch;;;578454477;9;"Цифровая фоторамка Transcend PF705";"Цифровая фоторамка Transcend PF705, Bosch, Пятый уровень вложенности";"Широкоэкранная цветная TFT LCD панель с диагональю 7 дюймов и отношением сторон 16:9.";"<p>Широкоэкранная цветная TFT LCD панель с диагональю 7 дюймов и отношением сторон 16:9.</p>";"<p>Широкоэкранная цветная TFT LCD панель с диагональю 7 дюймов и отношением сторон 16:9. Поддержка USB флэш-накопителей и карт памяти SD/SDHC/MMC/MS Полная совместимость с интерфейсом Hi-Speed USB 2.0 и обратная совместимость с USB 1.1. Прямое подключение к ПК с помощью USB для простого обмена файлами. Выбор различных фотографий для создания слайдшоу. Возможность просмотра изображений в режиме слайд-шоу, в режиме пиктограмм, в обычномрежиме, а также возможность увеличения изображения. Функция напоминаний о важных датах/событиях. Функции календаря и часов. Автоматическое выключение и таймер для перехода в неактивный режим. Возможность выбора цветовых режимов. Цвета: белый, черный.</p>";"128-225.jpg, 128-226.jpg";;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Цифровая фоторамка Sony DPF-A710";238.55;2;tsifrovaya-fotoramka-sony-dpf-a710;1;0;;;;647001831;10;"Цифровая фоторамка Sony DPF-A710";;;"<p>Цифровая фоторамка с 7-дюймовым широкоформатным ЖК-экраном со светодиодной подсветкой обеспечивает четкое и детализированное отображение фотографий.</p>";"<p>Цифровая фоторамка с 7-дюймовым широкоформатным ЖК-экраном со светодиодной подсветкой обеспечивает четкое и детализированное отображение фотографий. Встроенная память 128 МБ позволяет хранить до 200 фотографий. Большой выбор настроек слайд-шоу, разные варианты оформления часов и календаря, функции поиска фотографий по папкам, событиям и тегам пользователя. Интеллектуальный сенсор поворачивает изображение при изменении положения рамки. Оснащена пультом дистанционного управления.</p>";"127-222.jpg, 127-223.jpg, 127-224.jpg";;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности";"Вспышка Nikon Speedlight SB-900";1148.55;2;vspyshka-nikon-speedlight-sb-900;1;1;;;;957835494;9;"Вспышка Nikon Speedlight SB-900";;;"<p>Профессиональная вспышка i-TTL, совместимая с зеркальными фотокамерами.</p>";"<p>Профессиональная вспышка i-TTL, совместимая с зеркальными фотокамерами. Три шаблона освещения: центрально-взвешенный, равномерный и стандартный. Набор усовершенствованных функций. Система термальной защиты, автоматическое определение фильтра.</p>";130-228.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности";"Вспышка Canon Speedlite 580EX II";1343.55;2;vspyshka-canon-speedlite-580ex-ii;1;0;;;;2085598530;10;"Вспышка Canon Speedlite 580EX II";;;"<p>Вспышка для любых погодных условий.</p>";"<p>Вспышка для любых погодных условий. Управление с помощью меню фотокамеры. Надёжная конструкция защищает детали вспышки от попадания пыли и влаги при съёмке с выносной колодкой. Бесшумный и быстрый перезаряд.</p>";129-227.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности";"Объектив Canon EF 70-200 f 4L USM";1678.95;2;obektiv-canon-ef-70-200-f-4l-usm;1;0;;;;968172589;10;"Объектив Canon EF 70-200 f 4L USM";;;"<p>Телеобъектив с постоянной светосилой. Модель выполнена в прочном, пыле- и влагозащитном корпусе.</p>";"<p>Телеобъектив с постоянной светосилой. Модель выполнена в прочном, пыле- и влагозащитном корпусе. Диафрагма объектива с круглым отверстием позволяет получать привлекательный эффект размытого фона. Оптическая схема объектива включает 13 линз в 16 группах. В числе элементов имеются две линзы из низкодисперсионного стекла UD и одна флюоритовая. Такая конструкция обеспечивает превосходное качество изображения с минимальным уровнем аберраций при любом значении фокусного расстояния. Многослойное просветление Super Spectra. Фокусировка осуществляется при помощи кольцевого ультразвукового мотора USM.</p>";133-231.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности";"Объектив Canon EF 50 mm f1.8 II";287.95;2;obektiv-canon-ef-50-mm-f18-ii;1;0;;;;1385069830;10;"Объектив Canon EF 50 mm f1.8 II";;;"<p>Стандартный объектив с постоянным фокусным расстоянием.</p>";"<p>Стандартный объектив с постоянным фокусным расстоянием. Компактный и легкий, обеспечивает отличное качество изображения при светосиле, превосходящей возможности любого объектива с переменным фокусным расстоянием. Классическая оптическая схема. Система автофокусировки базируется на встроенном микромоторе.</p>";132-230.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности";"Объектив Canon EF-S 18-55mm f3.5-5.6 IS";260.00;2;obektiv-canon-ef-s-18-55mm-f35-56-is;1;0;;;;952091862;10;"Объектив Canon EF-S 18-55mm f3.5-5.6 IS";;;"<p>Стандартный объектив общего назначения с 4-ступенчатым стабилизатором изображения, который помогает добиться значительно лучших результатов в условиях слабой освещенности.</p>";"<p>Стандартный объектив общего назначения с 4-ступенчатым стабилизатором изображения, который помогает добиться значительно лучших результатов в условиях слабой освещенности. Изготовлен на основе профессиональной оптики, с использованием асферического элемента. Подходит для съёмки без штатива при различном освещении. Минимальное расстояние фокусировки объектива составляет всего 25 см при любом увеличении, обеспечивая возможность макросъёмки.</p>";131-229.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности";"Штатив Rekam RT-L38";175.50;2;shtativ-rekam-rt-l38;1;1;;;;633126586;9;"Штатив Rekam RT-L38";;;"<p>Напольный штатив для фото- и видеокамер.</p>
";"<p>Напольный штатив для фото- и видеокамер. Корпус выполнен из металла серебристого цвета, ручка для переноса, механический подъемник, крюк для сумки, панорамная 3-D головка.</p>
";135-235.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности";"Штатив Hama Traveller Mini H-4048";130.00;2;shtativ-hama-traveller-mini-h-4048;1;;;;;1455664353;9;"Штатив Hama Traveller Mini H-4048";;;"<p>Компактный штатив-треножник для фото/видеокамер и микрофонов. Шаровая головка. Вес 215 г.</p>";"<p>Компактный штатив-треножник для фото/видеокамер и микрофонов. Шаровая головка. Вес 215 г.</p>";"134-232.jpg, 134-233.jpg, 134-234.jpg";;;;
"Пять уровней вложенности";"Цифровой фотоаппарат Nikon Coolpix S1100pj";888.55;2;tsifrovoj-fotoapparat-nikon-coolpix-s1100pj;1;;;;;1036617146;10;"Цифровой фотоаппарат Nikon Coolpix S1100pj";;;"<p>Цифровая тонкая фотокамера с разрешением 14,1 мегапикселей. Широкоугольный объектив NIKKOR с 5-кратным увеличением обеспечивает потрясающе точную передачу деталей и высокое разрешение.</p>";"<p>Цифровая тонкая фотокамера с разрешением 14,1 мегапикселей. Широкоугольный объектив NIKKOR с 5-кратным увеличением обеспечивает потрясающе точную передачу деталей и высокое разрешение. (Эквивалент формата 35 мм для пленочных фотокамер: 28 &ndash; 140 мм). Встроенный проектор позволяет проецировать избранные фотографии или видеоклипы. Поддержка ярких (до 14 люмен) проекций качества VGA на экране размером от 26 до 240 см (от 5 до 47 дюймов). Проецирование изображений с ПК или карты памяти. Гибридное VR (смещение объектива и электронное подавление вибраций). Сенсорный ЖК экран с диагональю 7,6 см (3 дюйма), разрешением 460 тыс. точек. Яркие видеоклипы высокой четкости в формате 720р HD. 17 сюжетных режимов. Варианты расцветок - желтый, сиреневый, черный, серый.</p>";"137-242.jpg, 137-243.jpg, 137-244.jpg, 137-245.jpg, 137-246.jpg";;;;
"Пять уровней вложенности";"Цифровая фотокамера Olympus PEN E-P3";3791.45;2;tsifrovaya-fotokamera-olympus-pen-e-p3;1;;;;;1952049251;10;"Цифровая фотокамера Olympus PEN E-P3";;;"<p>Компактная камера в металлическом корпусе. Сенсорный OLED-дисплей с диагональю 3 дюйма.</p>";"<p>Компактная камера в металлическом корпусе. Сенсорный OLED-дисплей с диагональю 3 дюйма. Live MOS сенсор с разрешением 12.3 Мегапикселей. FAST автофокус (Frequency Acceleration Sensor Technology). Full HD-видео со стерео звуком, регулируемой глубиной резкости и художественными фильтрами. Графический процессор TruePic VI. Цвета: черный, белый, серебристый.</p>";"136-236.jpg, 136-237.jpg, 136-238.jpg, 136-239.jpg, 136-240.jpg";;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Сауна для лица Panasonic EH 2424";325.00;2;sauna-dlya-litsa-panasonic-eh-2424;1;0;;;;971550899;10;"Сауна для лица Panasonic EH 2424";;;"<p>Ионизирующий вапоризатор для очищения и увлажнения глубоких слоев кожного покрова.</p>";"<p>Ионизирующий вапоризатор для очищения и увлажнения глубоких слоев кожного покрова. Очищение и увлажнение глубоких слоев эпидермиса с помощью наночастиц ионизированного пара. Непрерывная работа при однократном заполнении резервуара водой – 12 ми</p>";119-213.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Сауна для лица Panasonic EH 2513";108.55;2;sauna-dlya-litsa-panasonic-eh-2513;1;0;;;;581385240;10;"Сауна для лица Panasonic EH 2513";;;"<p>Вакуумный очиститель пор с функцией микроспрея для более эффективной очистки кожи. 2 режима работы (влажный и обычный). Непрерывная работа от аккумулятора - 20 минут. Мощность вакуумного давления: 50кПа.</p>";"<p>Вакуумный очиститель пор с функцией микроспрея для более эффективной очистки кожи. 2 режима работы (влажный и обычный). Непрерывная работа от аккумулятора - 20 минут. Мощность вакуумного давления: 50кПа.</p>";118-212.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Плойка Valera DIGICURL 641.19";157.95;2;plojka-valera-digicurl-64119;1;0;;;;1852887291;10;"Плойка Valera DIGICURL 641.19";;;"<p>Плойка с цифровым управлением для завивки волос.</p>";"<p>Плойка с цифровым управлением для завивки волос. Диаметр: 19 мм. Керамический слой. Антибактериальное действие NANO-SILVER. Цифровой дисплей. Максимальная температура 190°C. Гибкий поворотный кабель 3 м. Пластиковый наконечник.</p>";123-217.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Стайлер Braun Satin Hair 5 ESW";195.00;2;stajler-braun-satin-hair-5-esw;1;0;;;;715993455;10;"Стайлер Braun Satin Hair 5 ESW";;;"<p>Стайлер для выпрямления волос. Подвижные керамические пластины NanoGlide поддерживают здоровье кутикулы.</p>";"<p>Стайлер для выпрямления волос. Подвижные керамические пластины NanoGlide поддерживают здоровье кутикулы. Точная регулировка температуры для бережной укладки (от 130°C до 200°C с шагом в 5°C). Формирователь локонов. Температурный дисплей. Автоматическое отключение через 30 минут.</p>";122-216.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Выпрямитель для волос Braun ES2";227.50;2;vypryamitel-dlya-volos-braun-es2;1;0;;;;1695088205;10;"Выпрямитель для волос Braun ES2";;;"<p>Керамическое покрытие насадок. Индикатор остаточного нагрева.</p>";"<p>Керамическое покрытие насадок. Индикатор остаточного нагрева. Индивидуальные настройки режима укладки. Защита от перегрева. Максимальная температура нагрева 200 С. Мощность 140 Вт.</p>";121-215.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Щипцы Moser SalonStyle 4463-0050";273.00;2;schiptsy-moser-salonstyle-4463-0050;1;0;;;;932731873;10;"Щипцы Moser SalonStyle 4463-0050";;;"<p>Щипцы для выпрямления волос. Мощность: 45 Вт.</p>";"<p>Щипцы для выпрямления волос. Мощность: 45 Вт. Ударопрочный корпус из термопластика. Подкругленный корпус для завивки волос. Плавающие пластины. Керамико-турмалиновое покрытие пластин. 6 температурных режимов (от 130 до 230 гр). LED-индикаторы работы. Автоотключение через 30 мин. Шнур питания с вращающимся шарниром и петлей для подвешивания. Защита от перегрева.</p>";120-214.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Электробигуди Philips HP4611";130.00;2;elektrobigudi-philips-hp4611;1;0;;;;1746244628;10;"Электробигуди Philips HP4611";;;"<p>12 бигуди в комплекте для создания блестящих локонов.</p>";"<p>12 бигуди в комплекте для создания блестящих локонов. 4 бигуди с керамическим покрытием для создания объемных локонов. Индикатор готовности к работе. 12 металлических зажимов, 4 зажима-краба. Система SalonRollers Pro нагревает все бигуди одновременно, обеспечивая быстрый и равномерный нагрев.</p>";125-220.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Электробигуди Remington KF40E";144.95;2;elektrobigudi-remington-kf40e;1;0;;;;965772670;10;"Электробигуди Remington KF40E";;;"<p>Термобигуди с тефлоновым покрытием и функцией ионного кондиционирования.</p>";"<p>Термобигуди с тефлоновым покрытием и функцией ионного кондиционирования. Имеют восковую середину и бархатное покрытие. 4 штуки диаметром 20 мм, 10 штук диаметром 22 мм, 6 штук диаметром 25 мм. Время нагрева - 10 минут. Подставка для нагревания и зажимы для волос в комплекте. Два варианта цвета.</p>";"124-218.jpg, 124-219.jpg";;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Фен Valera Swiss Nano 9200 Ionic Tourmaline Rotocord";266.50;2;fen-valera-swiss-nano-9200-ionic-tourmaline-rotocord;1;0;;;;915175935;10;"Фен Valera Swiss Nano 9200 Ionic Tourmaline Rotocord";;;"<p>Фен мощностью 2000 Вт. 6 комбинаций температуры и скорости воздушного потока.</p>";"<p>Фен мощностью 2000 Вт. 6 комбинаций температуры и скорости воздушного потока. Независимая регулировка нагрева и воздушного потока. Подача холодного воздуха. Ионизация. Срок службы: 2000 часов. Вес без кабеля: 540 гр. Гибкий кабель 3 м с устройством Rotocord (вращение шнура вокруг своей оси).</p>";126-221.jpg;;;;
"Пять уровней вложенности/Второй уровень вложенности/Третий уровень вложенности/Четвёртый уровень вложенности/Пятый уровень вложенности";"Фен-расческа Braun Steam & Style ASS 1000";180.05;2;fen-rascheska-braun-steam--style-ass-1000;1;0;;;;1529306471;10;"Фен-расческа Braun Steam & Style ASS 1000";;;"<p>Мощный стайлер с управлямой подачей пара.</p>";"<p>Мощный стайлер с управлямой подачей пара. Мягкая укладка и длительный результат. Идеален для укладки влажных волос и корректировки прически на сухих волосах, для создания локонов и волн, создания объема. 3 ступени мощности потока воздуха. Насадка для создания крупных локонов и волн. Насадка для мелкой и средней завивки. Насадка для подъема волос и создания объема от самых корней. Цвет сиреневый матовый.</p>";113-206.jpg;;;;
